Description:,Celsius-based heating degree days for a base temperature of 15.5C,,,,,,,,,,,
Source:,www.degreedays.net (using temperature data from www.wunderground.com),,,,,,,,,,,
Accuracy:,"Estimates were made to account for missing data: the ""% Estimated"" column shows how much each figure was affected (0% is best, 100% is worst)",,,,,,,,,,,
Station:,"Sungshan / Taipei, TW (121.55E,25.07N)",,,,,,,,,,,
Station ID:,RCSS,,,,,,,,,,,
,,,,,,,,,,,,
Month starting,HDD,% Estimated,,,,,,,,,cooling ,heating 
1/02/2014,36,0,,,,,,,,2009/04,160,15
1/03/2014,14,0,,2014,q2,0,,,,2009/05,368,0
1/04/2014,0,0,,,q3,0,,,,2009/06,512,0
1/05/2014,0,0.03,,,q4,23,,,,2009/07,666,0
1/06/2014,0,0,,2015,q1,57,,,,2009/08,642,0
1/07/2014,0,0,,,q2,2,,,,2009/09,608,0
1/08/2014,0,0,,,q3,0,,,,2009/10,330,0
1/09/2014,0,0,,,q4,6,,,,2009/11,149,17
1/10/2014,0,0,,2016,q1,108,,,,2009/12,40,125
1/11/2014,0,0,,,q2,0,,,,2010/01,12,129
1/12/2014,23,0,,,q3,0,,,,2010/02,45,135
1/01/2015,21,0,,,q4,4,,,,2010/03,100,73
1/02/2015,22,0,,,,,,,,2010/04,125,26
1/03/2015,14,0,,,,,,,,2010/05,354,0
1/04/2015,2,0,,,,,,,,2010/06,415,0
1/05/2015,0,0,,,,,,,,2010/07,651,0
1/06/2015,0,0,,,,,,,,2010/08,672,0
1/07/2015,0,0,,,,,,,,2010/09,541,0
1/08/2015,0,0,,,,,,,,2010/10,330,0
1/09/2015,0,0,,,,,,,,2010/11,149,0
1/10/2015,0,0,,,,,,,,2010/12,37,123
1/11/2015,1,0,,,,,,,,2011/01,0,282
1/12/2015,5,0,,,,,,,,2011/02,7,153
1/01/2016,34,0.03,,,,,,,,2011/03,21,181
1/02/2016,46,0,,,,,,,,2011/04,140,14
1/03/2016,28,0,,,,,,,,2011/05,313,0
1/04/2016,0,0,,,,,,,,2011/06,540,0
1/05/2016,0,0,,,,,,,,2011/07,581,0
1/06/2016,0,0,,,,,,,,2011/08,638,0
1/07/2016,0,0,,,,,,,,2011/09,522,0
1/08/2016,0,0,,,,,,,,2011/10,322,0
1/09/2016,0,0,,,,,,,,2011/11,223,0
1/10/2016,0,0,,,,,,,,2011/12,18,138
1/11/2016,0,0,,,,,,,,2012/01,1,165
1/12/2016,4,0,,,,,,,,2012/02,8,175
1/01/2017,14,0,,,,,,,,2012/03,58,126
,,,,,,,,,,2012/04,256,0
,,,,,,,,,,2012/05,397,0
,,,,,,,,,,2012/06,498,0
,,,,,,,,,,2012/07,660,0
,,,,,,,,,,2012/08,591,0
,,,,,,,,,,2012/09,474,0
,,,,,,,,,,2012/10,331,0
,,,,,,,,,,2012/11,174,5
,,,,,,,,,,2012/12,53,81
,,,,,,,,,,2013/01,,
,,,,,,,,,,2013/02,,
,,,,,,,,,,2013/03,,
,,,,,,,,,,2013/04,,
,,,,,,,,,,2013/05,,
,,,,,,,,,,2013/06,,
,,,,,,,,,,2013/07,,
,,,,,,,,,,2013/08,,
,,,,,,,,,,2013/09,,
,,,,,,,,,,2013/10,,
,,,,,,,,,,2013/11,,
,,,,,,,,,,2013/12,,
,,,,,,,,,,2014/01,,
,,,,,,,,,,2014/02,,
,,,,,,,,,,2014/03,,
,,,,,,,,,,2014/04,,
,,,,,,,,,,2014/05,,
,,,,,,,,,,2014/06,,
,,,,,,,,,,2014/07,,
,,,,,,,,,,2014/08,,
,,,,,,,,,,2014/09,,
,,,,,,,,,,2014/10,,
,,,,,,,,,,2014/11,,
,,,,,,,,,,2014/12,,
,,,,,,,,,,2015/01,,
,,,,,,,,,,2015/02,,
,,,,,,,,,,2015/03,,
,,,,,,,,,,2015/04,,
,,,,,,,,,,2015/05,,
,,,,,,,,,,2015/06,,
,,,,,,,,,,2015/07,,
,,,,,,,,,,2015/08,,
,,,,,,,,,,2015/09,,
,,,,,,,,,,2015/10,,
,,,,,,,,,,2015/11,,
,,,,,,,,,,2015/12,,
,,,,,,,,,,2016/01,,
,,,,,,,,,,2016/02,,
,,,,,,,,,,2016/03,,
,,,,,,,,,,2016/04,,
,,,,,,,,,,2016/05,,
,,,,,,,,,,2016/06,,
,,,,,,,,,,2016/07,,
,,,,,,,,,,2016/08,,
,,,,,,,,,,2016/09,,
,,,,,,,,,,2016/10,,
,,,,,,,,,,2016/11,,
,,,,,,,,,,2016/12,,
